#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
634,31.231292,43.155,G,9020.755061,0.03009,SPEC,27,1,45,13,9,5,,9,8,1,1
635,30.955875,-52.447694,G,6309.132279,0.021045,,12,1,41,11,4,15,,3,4,3,
636,31.313792,37.63375,G,5187.009108,0.017302,,15,1,33,8,5,5,,2,7,1,1
637,31.312417,30.004833,G,5234.076524,0.017459,,26,,29,11,10,3,,7,16,,3
638,31.361,31.175333,G,5270.950997,0.017582,,85,1,57,14,16,9,,7,22,7,5
639,31.3905,34.880944,G,4415.043529,0.014727,,51,1,58,22,16,7,,5,13,1,3
640,31.308292,9.92525,G,7761.027153,0.025888,,37,,46,17,11,7,,4,6,1,3
641,31.3615,13.327083,G,7528.088413,0.025111,,24,1,8,9,7,5,1,3,8,9,2
642,31.337458,8.526139,G,5756.914571,0.019203,,14,,38,11,7,2,,3,4,1,3
643,30.636917,-79.670389,G,4605.111947,0.015361,,38,2,47,10,5,17,,15,21,3,1
644,31.513,9.295556,G,9242.901273,0.030831,,46,1,49,17,14,7,,9,14,1,2
645,31.653375,1.515694,G,6816.081325,0.022736,,26,,51,16,8,6,,8,13,1,2
646,31.784625,42.965722,G,5591.129342,0.01865,,28,,44,14,9,6,,4,8,1,2
647,31.568208,-41.523083,G,5379.176074,0.017943,,37,1,48,11,11,18,,9,15,3,2
648,31.652375,-31.777833,G,10653.124995,0.035535,,23,,16,8,9,17,2,3,6,2,1
649,31.801042,8.978028,G,8023.045761,0.026762,,14,1,36,11,7,5,,3,7,1,2
650,31.586583,-52.028083,G,5881.928026,0.01962,,27,1,38,10,5,17,,14,15,3,
651,31.869417,9.168306,G,9099.90027,0.030354,,36,1,54,18,10,6,,4,7,1,2
652,31.4295,-71.115472,G,8143.862122,0.027165,,26,2,46,11,7,17,,4,9,3,
653,32.12875,18.995333,G,5202.898109,0.017355,,22,,56,15,8,4,,4,7,1,3
